Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
x0;newton_raphson_dup.cpp;30;6.831151723861694;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;4.957756519317627;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.7982728481292725;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;2.9625236988067627;1-8;Random bit-flip;1
cs;../sysdeps/ieee754/dbl-64/s_sin.c;160;1.9096765518188477;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.928771018981934;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.303810358047485;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.600181341171265;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.149076461791992;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.039210081100464;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;5.297200441360474;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;7.7477006912231445;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.747380495071411;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;8.015064716339111;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;7.791024208068848;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;3.326446533203125;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;2.057745933532715;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;13.065319776535034;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;3.723435878753662;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.061818599700928;1-8;Random bit-flip;1
__for_end;newton_raphson_dup.cpp;0;13.761256694793701;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;3.411247968673706;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.952032566070557;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.3710222244262695;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.5177876949310303;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;3.8153562545776367;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.4568865299224854;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.9147326946258545;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.2786669731140137;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.8589489459991455;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.213690519332886;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.0985569953918457;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;1.1307601928710938;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.6454524993896484;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.0752484798431396;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;14.226951599121094;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.3433096408843994;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.3657944202423096;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.588406562805176;1-8;Random bit-flip;1
df_x;newton_raphson.hpp;58;5.768321990966797;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.5709168910980225;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.6039907932281494;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.245620012283325;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;6.33670449256897;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.604644060134888;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.6156411170959473;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.922905921936035;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;13.550822257995605;1-8;Random bit-flip;1
ccs;../sysdeps/ieee754/dbl-64/s_sin.c;247;7.961724519729614;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.395390510559082;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.9099528789520264;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.9561848640441895;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.418154001235962;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;8.062559127807617;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.814914226531982;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.502927780151367;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;8.849701166152954;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;6.817719459533691;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;5.097975015640259;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;5.671499013900757;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;13.613966703414917;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.411424398422241;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;1.9121930599212646;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.7982118129730225;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;7.637263536453247;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;3.8573715686798096;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;13.340144395828247;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;2.226909637451172;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;15.568604707717896;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.580280065536499;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.93162202835083;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.366497039794922;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;2.824467420578003;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;5.679128646850586;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;1.4263994693756104;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.579314708709717;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;1.944040298461914;1-8;Random bit-flip;1
lock;abort.c;46;14.358710527420044;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.33846116065979;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.668594598770142;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;6.302735805511475;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.288646936416626;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;3.0833077430725098;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.4875106811523438;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.7206718921661377;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;3.30367112159729;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.323116064071655;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.2314255237579346;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.7083466053009033;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;3.3995635509490967;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;5.286613702774048;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.765331268310547;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;1.4168789386749268;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.6677043437957764;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.83922553062439;1-8;Random bit-flip;1
__for_begin;newton_raphson_dup.cpp;0;15.330745697021484;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;15.557424783706665;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.8210608959198;1-8;Random bit-flip;1
debug;newton_raphson.hpp;48;3.4494237899780273;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.909128665924072;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.4855198860168457;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.821635007858276;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.142250299453735;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.682774305343628;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.422945499420166;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.6882147789001465;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.838034152984619;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.8103785514831543;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;8.497640132904053;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.258713006973267;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;4.945641994476318;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.922242164611816;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.494412660598755;1-8;Random bit-flip;1
debug;newton_raphson.hpp;48;5.815948963165283;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.795184373855591;1-8;Random bit-flip;1
f;newton_raphson.hpp;34;4.698227643966675;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;7.587330102920532;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.407171726226807;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.7080421447753906;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.1589531898498535;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.643390417098999;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;1.8040480613708496;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.777591705322266;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;3.47711443901062;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.6586692333221436;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.667830467224121;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;13.845744371414185;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.23173975944519;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;2.8503308296203613;1-8;Random bit-flip;1
x0;newton_raphson.hpp;44;8.111941576004028;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;5.748867034912109;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.818986177444458;1-8;Random bit-flip;1
