numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
40627;259.5182963651789;0.0;37.60151218375131;28809;28834;28869;28896;28930;29238;29563;29611;29611;29611;29611;29917;30738;30976
41851;259.5182963651789;0.0;32.647378019694386;30818;30847;30888;30923;30959;31313;31616;31661;31661;31661;31661;31971;32829;33071
80000;9.347086146266232;0.0;0.0001168385768283279;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000;80000
1722;0.0;0.0;0.0;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722
2427;0.0;0.0;0.0;2427;2427;2427;2427;2427;2427;2427;2427;2427;2427;2427;2427;2427;2427
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80000;0.4140976367650777;0.0;5.176220459563471e-06;79999;79999;79999;79999;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
43849;259.5194783542968;0.0;29.013004610741785;33818;33848;33872;33899;33924;34156;34457;34526;34526;34526;34526;34792;35527;35751
80000;100.0;0.0;0.00125;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
80000;11.29410308858107;0.0;0.00014117628860726338;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
80000;11.709292398674616;0.0;0.0001463661549834327;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
837;0.0;0.0;0.0;837;837;837;837;837;837;837;837;837;837;837;837;837;837
1722;0.0;0.0;0.0;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722;1722
837;0.0;0.0;0.0;837;837;837;837;837;837;837;837;837;837;837;837;837;837
80000;0.0;0.0;0.0;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000;80000
80000;9.347086146266232;0.0;0.0001168385768283279;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;79999;80000;80000;80000
0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
