Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
maxIter;newton_raphson.hpp;46;0.3708930015563965;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;0.8362536430358887;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.4641213417053223;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;2.1842219829559326;0-6;Random bit-flip
x0;newton_raphson.cpp;32;0.9068412780761719;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;1.4121417999267578;0-6;Random bit-flip
maxIter;newton_raphson.hpp;46;2.8556413650512695;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1855907440185547;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.32709407806396484;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.5247437953948975;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1063461303710938;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1700007915496826;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.9122941493988037;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1217246055603027;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.41953206062316895;0-6;Random bit-flip
_rtld_global;rtld.c;231;1.0931131839752197;0-6;Random bit-flip
_rtld_global_ro;rtld.c;259;0.576507568359375;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1703243255615234;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1889476776123047;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.76882004737854;0-6;Random bit-flip
runp;dl-deps.c;162;0.7038938999176025;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1147634983062744;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1216046810150146;0-6;Random bit-flip
_rtld_global_ro;rtld.c;259;0.6725142002105713;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8077633380889893;0-6;Random bit-flip
_rtld_global;rtld.c;231;0.6677885055541992;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.4032707214355469;0-6;Random bit-flip
__GI__dl_argv;rtld.c;83;0.49718761444091797;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8565220832824707;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.934941291809082;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2562079429626465;0-6;Random bit-flip
__GI__dl_argv;rtld.c;83;0.7959170341491699;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.9006199836730957;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.6585156917572021;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.302623987197876;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1045384407043457;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.38884639739990234;0-6;Random bit-flip
_rtld_global;rtld.c;231;1.2153408527374268;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0957295894622803;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.7241165637969971;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.34952235221862793;0-6;Random bit-flip
__GI__dl_argv;rtld.c;83;0.8423097133636475;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.62884521484375;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.527686357498169;0-6;Random bit-flip
_rtld_global_ro;rtld.c;259;0.9972734451293945;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1795921325683594;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.086975336074829;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.3136870861053467;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.8169431686401367;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.45726799964904785;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;1.1183280944824219;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.482191801071167;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.6557748317718506;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.887667179107666;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.3020784854888916;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.4420642852783203;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0867235660552979;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.47084879875183105;0-6;Random bit-flip
_rtld_global;rtld.c;231;0.7557680606842041;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7392773628234863;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9633946418762207;0-6;Random bit-flip
_dl_skip_args;rtld.c;84;0.5038731098175049;0-6;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.6702654361724854;0-6;Random bit-flip
