Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
h;newton_raphson.hpp;36;0.5776333808898926;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;1.941917896270752;0-6;Random bit-flip;0
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;0.983015775680542;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.035768985748291;0-6;Random bit-flip;0
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;1.963106632232666;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.9300680160522461;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;0.8401198387145996;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.8900268077850342;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.7608602046966553;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.1651363372802734;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.0686588287353516;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.3505337238311768;0-6;Random bit-flip;0
h;newton_raphson.hpp;36;0.45929598808288574;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.5371506214141846;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;1.2290611267089844;0-6;Random bit-flip;0
sn;../sysdeps/ieee754/dbl-64/s_sin.c;247;0.6519057750701904;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;1.3487274646759033;0-6;Random bit-flip;0
f_x;newton_raphson.hpp;51;1.6050841808319092;0-6;Random bit-flip;0
h;newton_raphson.hpp;47;1.3619205951690674;0-6;Random bit-flip;0
delta;newton_raphson.hpp;46;1.9746897220611572;0-6;Random bit-flip;0
found_root;newton_raphson.hpp;54;1.4264888763427734;0-6;Random bit-flip;0
x0;newton_raphson.cpp;32;1.6914238929748535;0-6;Random bit-flip;0
f;newton_raphson.hpp;44;0.9533793926239014;0-6;Random bit-flip;0
f;newton_raphson.hpp;34;0.7640140056610107;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;0.5529978275299072;0-6;Random bit-flip;0
df_x_too_small;newton_raphson.hpp;53;1.212648868560791;0-6;Random bit-flip;0
